,description,id,match,name,score,type,input_value,type_id
59,"free and open source, web-based image and video annotation tool",Q85753730,False,Computer Vision Annotation Tool,32.5,[],annotationTools,
60,,,False,,,,annotatr,
61,"practice of writing down pieces of information gained from a particular source, such as a lecture or presentation",Q5668585,False,note-taking,44.5,[],anota,
62,,,False,,,,anota2seq,
63,,,False,,,,antiProfiles,
64,insecticide,Q4777979,False,Anvil,50.0,[],AnVIL,
65,,,False,,,,AnVILBilling,
66,,,False,,,,AnVILPublish,
67,,,False,,,,APAlyzer,
68,,,False,,,,apComplex,
69,,,False,,,,apeglm,
70,type of resource record in the Domain Name System (DNS),Q95455699,False,APL,50.0,[],APL,
71,,,False,,,,appreci8R,
72,,,False,,,,aroma.light,
73,,,False,,,,ArrayExpress,
74,,,False,,,,ArrayExpressHTS,
75,,,False,,,,arrayMvout,
76,,,False,,,,arrayQuality,
77,,,False,,,,arrayQualityMetrics,
78,,,False,,,,ARRmNormalization,
79,,,False,,,,artMS,
80,multiple persons in the Hebrew Bible: father of Joah (2 Kings 18:18-37); son of Berachiah the Gershonite (2 Chron. 20:14); descendant of Kohath (1 Chron. 26:1); keeper of the king's forest under Artaxerxes I (Neh. 2:8),Q4206741,False,Asaph,50.0,[],ASAFE,
81,,Q4804104,False,Asebu,44.5,[],ASEB,
82,,,False,,,,ASGSCA,
83,chips that have been designs to do only one specific task,Q217302,False,application-specific integrated circuit,44.5,[],ASICS,
84,,,False,,,,ASpediaFI,
85,,Q97258479,False,Asplind,41.5,[],ASpli,
86,,,False,,,,AssessORF,
87,"economic resource, from which future economic benefits are expected",Q46737,False,asset,50.0,[],ASSET,
88,banknotes of French franc,Q281914,False,assignat,43.0,[],ASSIGN,
89,,,False,,,,ASURAT,
90,,,False,,,,ATACseqQC,
91,group of near-Earth asteroids,Q1048390,False,Aten asteroid,40.0,[],atena,
92,single nucleotide position in genomic DNA at which different sequence alternatives exist,Q501128,False,single-nucleotide polymorphism,37.5,[],atSNP,
93,"Set of numerical values toward which a system tends to evolve, for a wide variety of starting conditions of the system",Q507187,False,attractor,44.0,[],attract,
94,,Q19523699,False,Cansó dels Aucells,25.0,[],AUCell,
95,providing increased autonomy,Q868575,False,empowerment,40.0,[],autonomics,
96,,,False,,,,AWFisher,
97,literature by Australian writers,Q781919,False,Australian literature,16.5,[],awst,
98,,,False,,,,BaalChIP,
99,,Q419061,False,Bacterial artificial chromosome,50.0,[],BAC,
100,cured and smoked pork belly,Q11106,False,bacon,50.0,[],bacon,
101,,,False,,,,BADER,
102,,,False,,,,BadRegionFinder,
103,simple tool in the form of a non-rigid container,Q1323314,False,bag,43.0,[],BAGS,
104,most formal style of full-length woman's evening dress,Q635784,False,ball gown,47.0,[],ballgown,
105,type of Spear,Q17150428,False,Bambu runcing,28.0,[],bambu,
106,,,False,,,,bamsignals,
107,life and practice of bandits,Q10968653,False,banditry,44.0,[],BANDITS,
108,,Q56304725,False,Bandledare,37.5,[],bandle,
109,,,False,,,,banocc,
110,,,False,,,,basecallQC,
111,high-level distributed computing system structure,Q7572175,False,Space-based architecture,26.5,[],BaseSpaceR,
112,,,False,,,,Basic4Cseq,
113,,Q15311166,False,BASICS project,30.0,[],BASiCS,
114,,,False,,,,BasicSTARRseq,
115,legendary reptile in European mythology,Q152519,False,basilisk,50.0,[],basilisk,
116,,,False,,,,basilisk.utils,
117,characteristic number of an electrically conducting liquid,Q105061807,False,Batchelor number,39.0,[],batchelor,
118,,,False,,,,BatchQC,
119,,,False,,,,BayesKnockdown,
120,space travel with humans aboard spacecraft,Q752783,False,human spaceflight,25.0,[],BayesSpace,
121,,,False,,,,bayNorm,
122,,,False,,,,baySeq,
123,,,False,,,,BBCAnalyzer,
124,,,False,,,,BCRANK,
125,,,False,,,,bcSeq,
126,,,False,,,,BDMMAcorrect,
127,,,False,,,,beachmat,
128,,,False,,,,beadarray,
129,,,False,,,,beadarraySNP,
130,,,False,,,,BeadDataPackR,
131,,,False,,,,BEARscc,
132,directed physical attack,Q3242199,False,strike,50.0,[],BEAT,
133,,,False,,,,BEclear,
134,alcoholic drink,Q44,False,beer,50.0,[],beer,
135,,,False,,,,benchdamic,
136,,,False,,,,BgeeCall,
137,,,False,,,,BgeeDB,
138,,,False,,,,BGmix,
139,"linked sequence of thermodynamic processes that involve transfer of heat and work into and out of the system,while varying pressure, temperature, and other state variables within the system, and that eventually returns the system to its initial state",Q75920,False,thermodynamic cycle,8.5,[],bgx,
140,human disease,Q55346113,False,hereditary progressive chorea without dementia,50.0,[],BHC,
141,tool designed to strike animals or people to aid in guidance or exert control through pain compliance or fear of pain,Q152910,False,whip,33.5,[],BicARE,
142,semiconductor manufacturing processes with a 5 nm FinFET technology node,Q4641190,False,5 nm lithography process,18.0,[],BiFET,
143,,,False,,,,bigmelon,
144,,,False,,,,bigPint,
145,,,False,,,,BindingSiteFinder,
146,,Q18344639,False,Microtox bioassay,34.5,[],bioassayR,
147,economic activity derived from scientific and research activity focused on biotechnology,Q3232188,False,Biobased economy,31.0,[],Biobase,
148,,,False,,,,biobroom,
149,,,False,,,,biobtreeR,
150,,Q2936202,False,Cancer-Bio-Santé,36.0,[],bioCancer,
151,,,False,,,,BiocCheck,
152,,,False,,,,BiocDockerManager,
153,,,False,,,,BiocFileCache,
154,,,False,,,,BiocGenerics,
155,,,False,,,,biocGraph,
156,,,False,,,,BiocIO,
157,,,False,,,,BiocNeighbors,
158,,,False,,,,BiocOncoTK,
159,subdivision of the biosphere consisting of biotopes that resemble one another and thus are colonized by similar vegetation,Q3487662,False,biochore,43.0,[],BioCor,
160,,,False,,,,BiocParallel,
161,,,False,,,,BiocPkgTools,
162,,,False,,,,BiocSet,
163,,,False,,,,BiocSingular,
164,,,False,,,,BiocSklearn,
165,,,False,,,,BiocStyle,
166,,,False,,,,biocthis,
167,,,False,,,,BiocVersion,
168,,,False,,,,biocViews,
169,,,False,,,,BiocWorkflowTools,
170,,,False,,,,biodb,
171,,,False,,,,biodbChebi,
172,,,False,,,,biodbExpasy,
173,,,False,,,,biodbHmdb,
174,,,False,,,,biodbKegg,
175,,,False,,,,biodbLipidmaps,
176,,,False,,,,biodbMirbase,
177,,,False,,,,biodbNcbi,
178,,,False,,,,biodbNci,
179,,,False,,,,biodbUniprot,
180,,,False,,,,bioDist,
181,R package,Q109500237,True,biomaRt,100.0,R package,biomaRt,Q73539779
182,,,False,,,,biomformat,
183,degradation of polutants in environment by stimulating micro-organisms which feed on them,Q816441,False,bioremediation,26.5,[],BioMM,
184,,,False,,,,BioMVCClass,
185,,,False,,,,biomvRCNS,
186,,,False,,,,BioNERO,
187,,Q17999538,False,Bionet,50.0,[],BioNet,
188,,,False,,,,BioNetStat,
189,,,False,,,,BioPlex,
190,,,False,,,,BioQC,
191,,,False,,,,biosigner,
192,,,False,,,,Biostrings,
193,overview about the somatotype and constitutional psychology,Q1501937,False,somatotype and constitutional psychology,50.0,[],BioTIP,
194,,,False,,,,biotmle,
195,,,False,,,,biovizBase,
196,,,False,,,,BiRewire,
197,sweet baked product,Q13270,False,biscuit,42.0,[],biscuiteer,
198,,,False,,,,BiSeq,
199,,,False,,,,BitSeq,
200,,,False,,,,blacksheepr,
201,,Q11909513,False,blima,50.0,[],blima,
202,,,False,,,,BLMA,
203,,,False,,,,BloodGen3Module,
204,,Q19080872,False,Blustering God,33.5,[],bluster,
205,日本の労働組合組織,Q11389503,False,全国社会保険職員労働組合,4.5,[],bnbc,
206,,,False,,,,bnem,
207,,,False,,,,BOBaFIT,
208,"natural light display that occurs in the sky, primarily at high latitudes (near the Arctic and Antarctic)",Q40609,False,aurora,50.0,[],borealis,
209,,,False,,,,BPRMeth,
210,animal brain as food,Q719458,False,brain,50.0,[],BRAIN,
211,,,False,,,,brainflowprobes,
212,,,False,,,,BrainSABER,
213,,,False,,,,branchpointer,
214,,,False,,,,brendaDb,
215,,,False,,,,BRGenomics,
216,"structure that spans and provides a passage over a road, railway, river, or some other obstacle",Q12280,False,bridge,50.0,[],bridge,
217,,,False,,,,BridgeDbR,
218,,,False,,,,BrowserViz,
219,,,False,,,,BSgenome,
220,,,False,,,,bsseq,
221,decoration typically placed on a Christmas tree,Q270286,False,Christmas ornament,32.0,[],BubbleTree,
222,,,False,,,,BufferedMatrix,
223,,,False,,,,BufferedMatrixMethods,
224,,,False,,,,bugsigdbr,
225,,,False,,,,BUMHMM,
226,,,False,,,,bumphunter,
227,,,False,,,,BumpyMatrix,
228,large road vehicle for transporting people,Q5638,False,bus,50.0,[],BUS,
229,,,False,,,,BUScorrect,
230,,,False,,,,BUSpaRse,
231,,,False,,,,BUSseq,
232,yellow Limestone used in constructions,Q1421807,False,Caen stone,28.5,[],CAEN,
233,brewed beverage prepared from roasted coffee seeds,Q8486,False,coffee,50.0,[],CAFE,
234,,,False,,,,CAGEfightR,
235,,,False,,,,cageminer,
236,"enclosure used to confine, contain or protect something or someone",Q129211,False,cage,44.5,[],CAGEr,
237,absence of air motion,Q647172,False,calmness,50.0,[],calm,
238,optical device for recording or transmitting photographic images or videos,Q15328,False,camera,50.0,[],CAMERA,
239,Chinese interpretation of the Western astronomical constellation,Q5031389,False,Cancer,50.0,[],canceR,
240,,,False,,,,cancerclass,
241,,,False,,,,CancerInSilico,
242,biologic subset of breast carcinoma defined by high expression of many genes expressed by adipose and other non-epithelial tissues,Q55780107,False,normal breast-like subtype of breast carcinoma,23.0,[],CancerSubtypes,
243,confection made with sugar,Q185583,False,candy,44.5,[],CAnD,
244,,,False,,,,caOmicsV,
245,fairy chess piece that can move like a bishop or a knight,Q646328,False,archbishop,50.0,[],Cardinal,
246,대한민국의 2인조 프로젝트 음악 그룹,Q12620335,False,Carnival,50.0,[],CARNIVAL,
247,admissions test,Q25304098,False,CASPer,50.0,[],casper,
248,ethernet switch,Q2033353,False,Cisco Catalyst,50.0,[],CATALYST,
249,"algebraic structure of objects and morphisms between objects, which can be associatively composed if the (co)domains agree",Q719395,False,category,50.0,[],Category,
250,diagram comparing two or more objects,Q25303686,False,comparison diagram,31.0,[],categoryCompare,
251,process by which individuals explain the causes of behavior and events,Q900584,False,attribution,25.0,[],CausalR,
252,,,False,,,,cbaf,
253,,,False,,,,CBEA,
254,,,False,,,,cBioPortalData,
255,,,False,,,,cbpManager,
256,,,False,,,,ccfindR,
257,,,False,,,,ccmap,
258,,,False,,,,CCPROMISE,
259,,,False,,,,ccrepe,
260,Bioconductor R package,Q104552099,False,Single-cell RNAseq cell cluster labelling by reference (celaref),20.0,R package,celaref,Q73539779
261,"room or cell in which prisoners are held, usually during the Middle Ages and Renaissance",Q89753,False,dungeon,50.0,[],celda,
262,,,False,,,,CellaRepertorium,
263,,,False,,,,CellBarcode,
264,,,False,,,,cellbaseR,
265,,,False,,,,CellBench,
266,,,False,,,,cellHTS2,
267,,Q5321387,False,E-CellID,43.0,[],CelliD,
268,quality of being toxic to cells,Q246181,False,cytotoxicity,28.5,[],cellity,
269,"a map or catalog of cell types in a particular condition (organ, species, tissue, etc)",Q104450703,False,cell atlas,39.0,[],CellMapper,
270,,,False,,,,cellmigRation,
271,,,False,,,,CellMixS,
272,,,False,,,,CellNOptR,
273,,,False,,,,cellscape,
274,,,False,,,,CellScore,
275,,,False,,,,CellTrails,
276,spatial access method where successive levels are split along different dimensions into nonoverlapping cells,Q29794207,False,extended k-d tree,20.0,[],cellTree,
277,,,False,,,,cellxgenedp,
278,R package,Q112281656,True,CEMiTool,100.0,R package,CEMiTool,Q73539779
279,,,False,,,,censcyt,
280,small remaining portion of a tree trunk with the roots still in the ground,Q811646,False,tree stump,50.0,[],Cepo,
281,,,False,,,,ceRNAnetsim,
282,,,False,,,,CeTF,
283,,,False,,,,CexoR,
284,,,False,,,,CFAssay,
285,,,False,,,,cfDNAPro,
286,,,False,,,,CGEN,
287,,,False,,,,CGHbase,
288,,,False,,,,cghMCR,
289,,,False,,,,CGHnormaliter,
290,Irish dish,Q2948542,False,champ,50.0,[],ChAMP,
291,,,False,,,,ChemmineR,
292,defunct British women's monthly magazine,Q104853295,False,Chic,50.0,[],ChIC,
293,designation for historic buildings and other sites in Chicago,Q2222981,False,Chicago Landmark,30.5,[],Chicago,
294,,,False,,,,chimeraviz,
295,,,False,,,,ChIPanalyser,
296,,,False,,,,ChIPComp,
297,,,False,,,,chipenrich,
298,,,False,,,,ChIPexoQual,
299,,,False,,,,ChIPpeakAnno,
300,,,False,,,,ChIPQC,
301,,,False,,,,ChIPseeker,
302,,,False,,,,chipseq,
303,,,False,,,,ChIPseqR,
304,,,False,,,,ChIPsim,
305,,,False,,,,ChIPXpress,
306,shaped pairs of sticks used as eating utensils,Q81980,False,chopsticks,50.0,[],chopsticks,
307,,,False,,,,chromDraw,
308,,,False,,,,ChromHeatMap,
309,,,False,,,,chromPlot,
310,,,False,,,,ChromSCape,
311,,,False,,,,chromstaR,
312,,,False,,,,chromswitch,
313,,,False,,,,chromVAR,
314,instrument for measuring extremely short intervals of time with great accuracy,Q46975025,False,chronoscope,41.0,[],CHRONOS,
315,,,False,,,,cicero,
316,,,False,,,,CIMICE,
317,,Q11073790,False,愛滋病信託基金委員會,9.5,[],CINdex,
318,,,False,,,,circRNAprofiler,
319,,,False,,,,cisPath,
320,,,False,,,,CiteFuse,
321,"whether ""r"" is pronounced in all positions; used to classify English dialects",Q26677,False,rhoticity,16.5,[],ClassifyR,
322,,,False,,,,cleanUpdTSeq,
323,large knife,Q938509,False,cleaver,50.0,[],cleaver,
324,,,False,,,,clippda,
325,Sailing vessel for the transportation of goods.,Q1440344,False,Clipper,50.0,[],clipper,
326,,,False,,,,cliProfiler,
327,political party in [[Canada]],Q2979393,False,Château Clique,27.5,[],cliqueMS,
328,,,False,,,,Clomial,
329,process of producing genetically identical individuals by changing nucleus,Q120877,False,cloning,35.5,[],Clonality,
330,gene of the species macaca nemestrina,Q24583208,False,CLSTN2,40.0,[],clst,
331,,,False,,,,clstutils,
332,,,False,,,,CluMSID,
333,,,False,,,,clustComp,
334,"empirical study in which individuals/clusters exposed to the experimental and control conditions are determined by factors outside the control of the investigators (nature), but the process governing the exposures arguably resembles random assignment",Q6980675,False,natural experiment,28.5,[],clusterExperiment,
335,cluster of eight tribunals that judge disputes related to social justice.,Q65053036,False,Social Justice Tribunals Ontario,13.5,[],ClusterJudge,
336,,,False,,,,clusterProfiler,
337,,,False,,,,clusterSeq,
338,,,False,,,,ClusterSignificance,
339,,,False,,,,clusterStab,
340,,,False,,,,clustifyr,
341,medical assistant who has been certified by the Certifying Board of the American Association of Medical Assistants (AAMA),Q5012845,False,CMA,50.0,[],CMA,
342,,Q24062124,False,Van Nuys Farm,24.0,[],cn.farms,
343,,,False,,,,cn.mops,
344,,,False,,,,CNAnorm,
345,,Q52346050,False,Comité national d'évaluation de la recherche,50.0,[],CNEr,
346,,,False,,,,CNORdt,
347,,,False,,,,CNORfeeder,
348,,,False,,,,CNORfuzzy,
349,,,False,,,,CNORode,
350,,,False,,,,CNTools,
351,,,False,,,,CNVfilteR,
352,,,False,,,,CNVgears,
353,,,False,,,,cnvGSA,
354,,,False,,,,CNViz,
355,,,False,,,,CNVMetrics,
356,,,False,,,,CNVPanelizer,
357,,,False,,,,CNVRanger,
358,,,False,,,,CNVrd2,
359,,,False,,,,CoCiteStats,
360,"pale-yellow, edible vegetable fat extracted from the cocoa bean",Q251106,False,cocoa butter,33.5,[],COCOA,
361,,,False,,,,codelink,
362,book with handwritten content,Q213924,False,codex,50.0,[],CODEX,
363,bicycle designed to fold into a compact form,Q1137570,False,folding bicycle,19.0,[],CoGAPS,
364,,,False,,,,cogena,
365,,,False,,,,cogeqc,
366,,Q4597587,False,Cogito,50.0,[],Cogito,
367,,,False,,,,coGPS,
368,,,False,,,,COHCAP,
369,carbonated beverage,Q134041,False,cola,50.0,[],cola,
370,,,False,,,,comapr,
371,harvester and forwarder,Q9286667,False,combi-machine,50.0,[],combi,
372,variety of goldfish,Q2635587,False,comet,50.0,[],coMET,
373,,,False,,,,coMethDMR,
374,,,False,,,,compartmap,
375,instrument used for navigation and orientation,Q34735,False,compass,50.0,[],COMPASS,
376,,,False,,,,compcodeR,
377,,,False,,,,compEpiTools,
378,,,False,,,,ComplexHeatmap,
379,,,False,,,,CompoundDb,
380,Street vendor in Mexico City,Q106574375,False,Mexico City Announcement,26.0,[],ComPrAn,
381,termination of something,Q12769393,False,end,41.0,[],conclus,
382,substance added to food to enhance its flavor,Q2596997,False,condiment,47.5,[],condiments,
383,"small, enclosed booth used for confession",Q814658,False,confessional,46.5,[],CONFESS,
384,general agreement on a subject,Q202722,False,consensus,50.0,[],consensus,
385,,,False,,,,ConsensusClusterPlus,
386,general agreement on a subject,Q202722,False,consensus,45.0,[],consensusDE,
387,,,False,,,,consensusOV,
388,,,False,,,,consensusSeekeR,
389,,,False,,,,contiBAIT,
390,,,False,,,,conumee,
391,football scoring play,Q2603777,False,conversion,50.0,[],convert,
392,gene of the species macaca nemestrina,Q24604607,False,COPA,50.0,[],copa,
393,phenomenon in which sections of a genome are repeated and the number of repeats in the genome varies between individuals,Q1501491,False,copy-number variation,34.5,[],copynumber,
394,,,False,,,,CopyNumberPlots,
395,Text written by a copywriter,Q1637891,False,Copy (written),41.0,[],CopywriteR,
396,hurricane in Mexico,Q1144521,False,Cordonazo wind,40.0,[],coRdon,
397,,,False,,,,CoRegNet,
398,multi-core cord originally used for parachutes,Q830629,False,parachute cord,26.5,[],CoreGx,
399,,,False,,,,Cormotif,
400,enclosure for holding animals such as livestock or pets,Q858177,False,pen,50.0,[],corral,
401,,Q10260874,False,Correpi,46.0,[],CORREP,
402,,Q5173875,False,Cosequin,38.5,[],coseq,
403,,,False,,,,cosmiq,
404,fermented dairy product traditionally made of mare's milk,Q61081,False,kumis,46.0,[],cosmosR,
405,,,False,,,,COSNet,
406,plant fiber from the genus Gossypium,Q11457,False,cotton,50.0,[],COTAN,
407,,,False,,,,countsimQC,
408,,,False,,,,covEB,
409,event in spaceflight during which a spacecraft can be viewed from a specified ground location,Q21501397,False,pass,33.5,[],CoverageView,
410,An instance of entity with accessioned sequence in Human SARS coronavirus with Reactome ID (R-COV-9685872),Q99978883,False,m7GpppA-mRNA3 [cytosol],18.5,[],covRNA,
411,,,False,,,,cpvSNP,
412,government office building for import and export of goods,Q218653,False,custom house,20.0,[],cqn,
413,,,False,,,,CRImage,
414,"adaptive antiviral defense mechanisms, in archaea and bacteria, based on DNA repeat arrays",Q71149179,False,CRISPR-Cas systems,28.5,[],crisprBase,
415,,,False,,,,crisprBowtie,
416,,,False,,,,crisprBwa,
417,,,False,,,,crisprScore,
418,,,False,,,,CRISPRseek,
419,,,False,,,,crisprseekplus,
420,,,False,,,,CrispRVariants,
421,,,False,,,,crlmm,
422,,,False,,,,crossmeta,
423,military personnel recovery from battlefield and enemy occupied areas,Q2714077,False,combat search and rescue,50.0,[],CSAR,
424,,,False,,,,csaw,
425,,Q10852239,False,Quadro 4,18.0,[],csdR,
426,,,False,,,,CSSP,
427,concrete flooring structural system,Q60754123,False,waffle slab,18.0,[],CSSQ,
428,signalling block system,Q1150451,False,centralized traffic control,50.0,[],ctc,
429,,,False,,,,CTDquerier,
430,,,False,,,,ctgGEM,
431,construction designed to bridge a large vertical distance by dividing it into steps,Q12511,False,stairs,44.5,[],cTRAP,
432,,,False,,,,ctsGE,
433,"broad waist sash, usually pleated, which is often worn with single-breasted dinner jackets or tuxedos",Q1192826,False,cummerbund,50.0,[],cummeRbund,
434,,,False,,,,customCMPdb,
435,,,False,,,,customProDB,
436,,,False,,,,cyanoFilter,
437,Type of (mathematical) permutation with no fixed element,Q212130,False,cyclic permutation,50.0,[],cycle,
438,,,False,,,,cydar,
439,,,False,,,,CytoDx,
440,,,False,,,,CyTOFpower,
441,,,False,,,,CytoGLMM,
442,,,False,,,,cytoKernel,
443,,,False,,,,cytomapper,
444,,,False,,,,cytoMEM,
445,,,False,,,,CytoTree,
446,information arranged for automatic processing,Q42848,False,data,44.5,[],dada2,
447,,,False,,,,dagLogo,
448,organization promoting concepts and practices about information management and data management,Q111966878,False,Data Management Association,50.0,[],daMA,
449,,,False,,,,DAMEfinder,
450,,,False,,,,DaMiRseq,
451,"aqueous solution consisting of a mixture of a weak acid and its conjugate base, which resists pH change when a strong acid or base is added",Q208465,False,buffer solution,26.5,[],DAPAR,
452,throwing game,Q131471,False,darts,50.0,[],DART,
453,,Q10269233,False,Dáspera,46.0,[],dasper,
454,,,False,,,,dcanr,
455,defunct IBM file system project,Q1080961,False,DCE Distributed File System,50.0,[],dce,
456,,,False,,,,dcGSA,
457,six-speed dual-dry-clutch automatic transmission,Q5797056,False,Euro Twin Clutch Transmission,50.0,[],ddCt,
458,,,False,,,,ddPCRclust,
459,,,False,,,,dearseq,
460,,,False,,,,debCAM,
461,,,False,,,,debrowser,
462,biological database,Q5204775,False,DECIPHER,50.0,[],DECIPHER,
463,procedures used by underwater divers to safely manage the decrease in pressure experienced during ascent,Q1183684,False,decompression,50.0,[],deco,
464,,,False,,,,DEComplexDisease,
465,,,False,,,,decompTumor2Sig,
466,,,False,,,,DeconRNASeq,
467,removal of a contaminating substance,Q17008689,False,decontamination,50.0,[],decontam,
468,,,False,,,,deconvR,
469,,,False,,,,decoupleR,
470,,,False,,,,DeepBlueR,
471,,,False,,,,DeepPINCS,
472,,,False,,,,deepSNV,
473,transformation of a body from a reference configuration to a current configuration,Q193514,False,deformation,50.0,[],DEFormats,
474,,,False,,,,DegNorm,
475,,,False,,,,DEGraph,
476,,,False,,,,DEGreport,
477,,,False,,,,DEGseq,
478,,,False,,,,DelayedArray,
479,,,False,,,,DelayedDataFrame,
480,,,False,,,,DelayedMatrixStats,
481,,,False,,,,DelayedRandomArray,
482,,,False,,,,DelayedTensor,
483,,,False,,,,deltaCaptureC,
484,,,False,,,,deltaGseg,
485,phénomène chimique,Q3043491,False,Démixtion,40.0,[],DeMixT,
486,,,False,,,,densvis,
487,migration of particles in an electric field,Q902890,False,dielectrophoresis,50.0,[],DEP,
488,message sent by telegraph,Q1522225,False,telegram,46.5,[],DepecheR,
489,,,False,,,,DepInfeR,
490,,,False,,,,DEqMS,
491,,,False,,,,derfinder,
492,,,False,,,,derfinderHelper,
493,,,False,,,,derfinderPlot,
494,,,False,,,,DEScan2,
495,R package,Q113018293,True,DESeq2,100.0,R package,DESeq2,Q73539779
496,,,False,,,,DEsingle,
497,,,False,,,,destiny,
498,"Art der Derivation, bei der Substantive zu anderen Wortarten umgeformt werden",Q1189703,False,denominalisation,30.0,[],DEsubs,
499,,,False,,,,DEWSeq,
500,,,False,,,,DExMA,
501,,,False,,,,DEXSeq,
502,microbial gene found in Yersinia pestis CO92,Q22567513,False,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase    YPO0048,50.0,[],DFP,
503,,,False,,,,DIAlignR,
504,,,False,,,,DiffBind,
505,,,False,,,,diffcoexp,
506,,,False,,,,diffcyt,
507,"Describes the regulation of the differentials of the movement position / angle, speed, acceleration, jerk and combinations thereof",Q852514,False,Motion control,33.5,[],DifferentialRegulation,
508,,,False,,,,diffGeneAnalysis,
509,,,False,,,,diffHic,
510,,,False,,,,DiffLogo,
511,,,False,,,,diffloop,
512,,,False,,,,diffuStats,
513,,,False,,,,diffUTR,
514,,,False,,,,Dino,
515,,,False,,,,dir.expiry,
516,computer that continuously calculates trigonometric firing solutions,Q1047422,False,director,50.0,[],Director,
517,,Q4704939,False,Dirichlet-multinomial distribution,37.0,[],DirichletMultinomial,
518,distorted sediment deposition,Q876798,False,unconformity,50.0,[],discordant,
519,,,False,,,,DiscoRhythm,
520,,Q493512,False,Distinct,50.0,[],distinct,
521,,,False,,,,dittoSeq,
522,principle by which grammaticalization can be detected,Q1230525,False,divergence,50.0,[],divergence,
523,set of 4 switches and a diamond crossing allowing trains to switch between two parallel tracks from each to another,Q110211806,False,scissors crossing,50.0,[],dks,
524,,,False,,,,DMCFB,
525,,,False,,,,DMCHMM,
526,,,False,,,,DMRcaller,
527,,,False,,,,DMRforPairs,
528,,,False,,,,DMRScan,
529,,,False,,,,dmrseq,
530,,,False,,,,DNABarcodes,
531,,,False,,,,DNAcopy,
532,,,False,,,,DNAshapeR,
533,chain reaction created by standing domino tiles or other elongated objects on end in a series and  upsetting the first one,Q5291227,False,domino toppling,48.0,[],DominoEffect,
534,,,False,,,,doppelgangR,
535,,,False,,,,Doscheda,
536,Measuring an appropriate amount of chemical for a given purpose,Q4164182,False,Dosing,40.0,[],DOSE,
537,Measuring an appropriate amount of chemical for a given purpose,Q4164182,False,Dosing,38.5,[],doseR,
538,,,False,,,,dpeak,
539,,,False,,,,drawProteins,
540,,,False,,,,DRIMSeq,
541,,,False,,,,DriverNet,
542,,,False,,,,DropletUtils,
543,,,False,,,,drugTargetInteractions,
544,,,False,,,,DrugVsDisease,
